Price,Beds,Baths,Sq-ft,Basement,Garage,Rooms,Annual Tax,Style,Year Built,Walkable Score,Bikeable Score,Address,City,Zip
399900,3.0,1.5,,0,1,5.0,6037.0,Condo/Co-op,1989,68.0,50.0,"63 Larch St,Carteret, NJ 07008",Carteret, 07008
379999,3.0,1.5,,1,0,7.0,4857.0,Single Family Residential,1897,40.0,36.0,"5 Keegan Pl,Sayreville, NJ 08872",Sayreville, 08872
399750,4.0,2.0,,0,0,8.0,5510.0,Single Family Residential,1929,30.0,36.0,"410 Elsie Ave,South Plainfield, NJ 07080",South Plainfield, 07080
199900,1.0,1.0,546.0,1,0,4.0,3988.0,Single Family Residential,1956,53.0,44.0,"58 Manalapan Rd,Spotswood, NJ 08884",Spotswood, 08884
339000,,,3002.0,1,0,,9421.0,Single Family Residential,1914,72.0,55.0,"340 4th St,South Amboy, NJ 08879",South Amboy, 08879
579900,4.0,2.0,,0,0,6.0,3000.0,Single Family Residential,1952,58.0,42.0,"72 Ashley Rd,Edison, NJ 08817",Edison, 08817
449900,3.0,1.5,1344.0,1,0,6.0,10386.0,Single Family Residential,1946,20.0,27.0,"840 Adelaide Ave,Woodbridge Proper, NJ 07095",Woodbridge Proper, 07095
874990,4.0,2.5,2605.0,1,0,,,,,0.0,25.0,"Tomasen Plan,Old Bridge, NJ 08857",Old Bridge, 08857
239000,2.0,1.0,903.0,0,0,5.0,3850.0,Condo/Co-op,1977,28.0,41.0,"288 College Dr #288,Edison, NJ 08817",Edison, 08817
449999,3.0,2.0,1590.0,1,0,,,Single Family Residential,1903,79.0,53.0,"307 Madison Ave,Dunellen Boro, NJ 08812-1101",Dunellen Boro, 08812-1101
1149775,3.0,3.0,3037.0,1,1,,16975.0,Single Family Residential,,6.0,26.0,"8 Cole Pl,Cranbury, NJ 08512",Cranbury, 08512
539000,4.0,1.5,,1,1,8.0,8247.0,Single Family Residential,1972,9.0,35.0,"261 Hanson Ave,Piscataway, NJ 08854",Piscataway, 08854
549900,2.0,2.0,2500.0,1,0,,,Single Family Residential,,95.0,51.0,"620 Middlesex Ave,Metuchen Boro, NJ 08840-1864",Metuchen Boro, 08840-1864
459900,3.0,1.0,1376.0,1,1,7.0,9064.0,Single Family Residential,1908,83.0,52.0,"426 Dunellen Ave,Dunellen, NJ 08812",Dunellen, 08812
265999,2.0,1.0,1049.0,1,0,,,Townhouse,1989,36.0,35.0,"3708 Birchwood Ct,North Brunswick, NJ 08902",North Brunswick, 08902
499900,5.0,2.0,,1,0,11.0,7967.0,Single Family Residential,1899,81.0,51.0,"467 Park Ave,Perth Amboy, NJ 08861",Perth Amboy, 08861
475000,3.0,2.0,1379.0,1,0,6.0,7563.0,Single Family Residential,1939,74.0,49.0,"7 Wilmot St,East Brunswick, NJ 08816",East Brunswick, 08816
419900,3.0,1.0,,1,0,,,Single Family Residential,1961,10.0,33.0,"401 Lodge St,Piscataway Twp., NJ 08854-2308",Piscataway Twp., 08854-2308
576000,4.0,2.0,1827.0,1,1,8.0,12140.0,Single Family Residential,1970,33.0,38.0,"320 Washington Pl,North Brunswick, NJ 08902",North Brunswick, 08902
500000,4.0,2.0,,1,1,7.0,7014.0,Single Family Residential,,34.0,27.0,"47 Merritt Ave,South Amboy, NJ 08879",South Amboy, 08879
579000,3.0,2.5,1926.0,1,1,8.0,12633.0,Multi-Family (2-4 Unit),2005,38.0,39.0,"1020 Spring St,North Brunswick, NJ 08902",North Brunswick, 08902
99900,,,,1,1,,2526.0,Single Family Residential,,18.0,28.0,"241 Deans Ln,South Brunswick, NJ 08852",South Brunswick, 08852
775000,4.0,3.0,3252.0,1,1,10.0,12651.0,Single Family Residential,1988,23.0,34.0,"12 Ascot Pl,North Brunswick, NJ 08902",North Brunswick, 08902
800000,5.0,2.5,,1,1,9.0,13572.0,Single Family Residential,1987,48.0,34.0,"13 Churchill Rd,Edison, NJ 08820",Edison, 08820
255000,3.0,1.0,1323.0,1,0,7.0,3943.0,Single Family Residential,1900,79.0,71.0,"265 Delavan St,New Brunswick, NJ 08901",New Brunswick, 08901
325000,2.0,1.5,,0,1,7.0,2286.0,Single Family Residential,,18.0,28.0,"376 Stirling Dr Unit B,Monroe, NJ 08831",Monroe, 08831
339000,2.0,1.0,780.0,1,0,6.0,4089.0,Single Family Residential,1924,48.0,49.0,"400 Wagner Ave,Perth Amboy, NJ 08861",Perth Amboy, 08861
775000,2.0,2.0,2270.0,1,1,,14194.0,Single Family Residential,,35.0,51.0,"9 Empress Ct,Princeton, NJ 08540",Princeton, 08540
399000,3.0,1.0,1325.0,1,1,8.0,7911.0,Single Family Residential,1945,62.0,48.0,"147 Lee Ave,Hopelawn, NJ 08861",Hopelawn, 08861
107739,1.0,1.0,786.0,0,0,5.0,2461.0,Condo/Co-op,1986,33.0,68.0,"8111 Tamarron Dr #8111,Plainsboro, NJ 08536",Plainsboro, 08536
450000,2.0,2.0,1306.0,1,0,,6767.0,Condo/Co-op,,1.0,24.0,"726 Stiller Ln,Jamesburg, NJ 08831",Jamesburg, 08831
525000,2.0,2.0,2110.0,0,0,6.0,13600.0,Condo/Co-op,1989,83.0,77.0,"30 S Adelaide Ave S Unit 7F,Highland Park, NJ 08904",Highland Park, 08904
389000,2.0,2.0,1196.0,0,1,6.0,6123.0,Single Family Residential,,39.0,42.0,"1601 Jesse Way,Piscataway, NJ 08854",Piscataway, 08854
635000,4.0,2.5,2100.0,1,1,8.0,,Single Family Residential,,70.0,56.0,"1099 Riverton St,North Brunswick, NJ 08902",North Brunswick, 08902
594500,3.0,2.5,1981.0,1,1,7.0,13342.0,Single Family Residential,2002,34.0,35.0,"65 Heatherwood Dr,North Brunswick, NJ 08902",North Brunswick, 08902
425000,4.0,2.0,,1,1,6.0,6971.0,Single Family Residential,,30.0,35.0,"1816 S Central Ave,South Plainfield, NJ 07080",South Plainfield, 07080
269900,2.0,1.0,1092.0,0,0,5.0,1401.0,Condo/Co-op,1967,33.0,32.0,"1B Old Nassau Rd Unit 1B,Monroe, NJ 08831",Monroe, 08831
899900,4.0,2.5,2539.0,1,1,,12429.0,Single Family Residential,2005,0.0,21.0,"24 Bard Dr,Monroe Township, NJ 08831",Monroe Township, 08831
409900,2.0,2.5,,1,1,6.0,6920.0,Condo/Co-op,,27.0,21.0,"8 Winsor Ct #2808,Sayreville, NJ 08872",Sayreville, 08872
175000,,,,1,0,,,Single Family Residential,,76.0,49.0,"1 Highland St,East Brunswick, NJ 08816",East Brunswick, 08816
219900,1.0,1.0,854.0,1,0,,5169.0,Condo/Co-op,,43.0,62.0,"2107 Windrow Dr,Princeton, NJ 08540",Princeton, 08540
405000,3.0,1.0,1526.0,1,0,6.0,8699.0,Single Family Residential,1907,76.0,51.0,"130 Dunellen Ave,Dunellen, NJ 08812",Dunellen, 08812
